API10,API12,API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,DI Landing Zone,DI Landing Zone Source,Target Formation,Formation at Total Depth,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,True Vertical Depth Source,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Spud Date Source,Completion Date,Completion Date Source,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Gross Perforated Interval Source,Horizontal Length,DI Lateral Length,DI Lateral Length Source,Wellbore Count (API10),Completion Count (API10),Treatment Job Count (API10),First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),Qualifier (First Treatment Job),Stage Count (First Treatment Job),Max Injection Rate (First Treatment Job),Max Injection Pressure (First Treatment Job),Total Proppant (First Treatment Job),Total Fluid (First Treatment Job),Total Additive (First Treatment Job),Proppant Per Horizontal Foot (First Treatment Job),Proppant per Perforated Foot (First Treatment Job),Fluid per Perforated Foot (First Treatment Job),Proppant Concentration (lbs/gal) (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,First Test Gas Gravity,First Test Oil Gravity,First Test GOR,First Test Casing Pressure,First Test Choke Size,First Test Flowing Tubing Pressure,Prac IP BOE,Prac IP Gas Daily,Prac IP Oil Daily,Prac IP CFGED,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Daily Gas,Daily Oil,Latest Gas,Latest Oil,Latest Water,Latest Yield,Last WHSIP,Latest GOR,First Month Gas,First Month Oil,First Month Water,2nd Month GOR,2nd Month Yield,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,Last 12 Yield,Prior 12 Gas,Prior 12 Oil,Prior 12 Water,First 24 BOE,First 24 Gas,First 24 Oil,First 24 Water,First 24 MMCFGE,First 60 BOE,First 60 Gas,First 60 Oil,First 60 Water,First 60 MMCFGE,Horizontal Wellbore Length,TVDSS Mean,Percentage in Landing Zone,Toe in Landing Zone,Footage in Landing Zone,Avg Distance from Top of Zone,Avg Distance from Base of Zone,Ext Formation Thickness Mean,Has Digitized Trajectory (Y/N),Has Filing Document(s) (Y/N),Has Well Log (LAS) (Y/N),Has Well Log (Raster) (Y/N),LAS Mnemonics,Country,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,OCS Area,PGC Area,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,UWI,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
4304754983,430475498300,43047549830000,GMBU,K-14-9-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5148,5877,5700,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,13,09S,17E,NWSW,,,,,,,,,,,,,,43-047-54983-00,40.0294243,-109.9623035,40.0315261,-109.965349
4304754938,430475493800,43047549380000,GMBU,13-36-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,5051,KB EST,5038,6325,6325,REPORTED,OIL,CANCELLED,,,,,,,,,V,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,36,08S,17E,SWSW,,,,,,,,,,,,,,43-047-54938-00,40.0690807,-109.9631035,40.0690807,-109.9631035
4304754937,430475493700,43047549370000,GMBU,110-36-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5043,6320,6268,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,36,08S,17E,NWNE,,,,,,,,,,,,,,43-047-54937-00,40.0794346,-109.9533031,40.0774963,-109.9525921
4304754926,430475492600,43047549260000,GMBU,12-36-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5028,6371,6355,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,36,08S,17E,NWSW,,,,,,,,,,,,,,43-047-54926-00,40.0734716,-109.9630034,40.0723579,-109.9619003
4304754688,430475468800,43047546880000,GMBU,I-26-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5038,6505,6385,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,26,08S,17E,NWNE,,,,,,,,,,,,,,43-047-54688-00,40.0947112,-109.9713037,40.0920682,-109.9687441
4304754687,430475468700,43047546870000,GMBU,L-26-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5030,6515,6350,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,26,08S,17E,SWNE,,,,,,,,,,,,,,43-047-54687-00,40.0911223,-109.9723037,40.0884175,-109.9685686
4304754626,430475462600,43047546260000,GMBU,14-26-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5058,6710,6518,REPORTED,OIL,PERMITTED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,35,08S,17E,NENW,,,,,,,,,,,,,,43-047-54626-00,40.0793614,-109.9767039,40.0834661,-109.976122
4304754444,430475444400,43047544440000,GMBU,15-26-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5061,6687,6550,REPORTED,OIL,PERMITTED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,35,08S,17E,NWNE,,,,,,,,,,,,,,43-047-54444-00,40.0799914,-109.9717037,40.0834738,-109.9714068
4304754443,430475444300,43047544430000,GMBU,16-26-8-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5042,6671,6530,REPORTED,OIL,PERMITTED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,25,08S,17E,SWSW,,,,,,,,,,,,,,43-047-54443-00,40.0835534,-109.9629034,40.0835005,-109.9666918
4304754442,430475444200,43047544420000,GMBU,1-1-9-17,GMBU,NEWFIELD,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MONUMENT BUTTE,UINTAH (UT),UINTA,UINTA,,,,MONUMENT BUTTE,MONUMENT BUTTE,,,,5012,6494,6300,REPORTED,OIL,CANCELLED,,,,,,,,,D,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,US,UINTA,,UT,01,09S,17E,NWNE,,,,,,,,,,,,,,43-047-54442-00,40.0659728,-109.9536031,40.0653162,-109.9477703
