,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Well,Qi_50,b_50,Di_50,Qi_90,b_90,Di_90,Qi_10,b_10,Di_10
0,0,0,0,43013306430000,85.0,0.0,0.55,85.0,0.0,0.5,85.0,0.0,0.6
1,1,1,1,43013310020000,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.06
2,2,2,2,43013313000000,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.06
3,3,3,3,43013311070100,38.0,0.0,0.1,38.0,0.0,0.15,38.0,0.0,0.06
4,4,4,4,43047311950000,2.0,0.0,0.1,2.0,0.0,0.15,2.0,0.0,0.06
5,5,5,5,43013306780000,85.0,0.5,0.1,92.0,0.0,0.15,92.0,0.0,0.06
6,6,6,6,43013306160000,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.06
7,7,7,7,43047326730000,1.0,0.0,0.1,1.0,0.0,0.15,1.0,0.0,0.06
8,8,8,8,43047325270000,10.0,0.0,0.1,10.0,0.0,0.15,10.0,0.0,0.06
9,9,9,9,43013317120000,73.0,0.0,0.1,73.0,0.0,0.15,73.0,0.0,0.06
10,10,10,10,43013315250000,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.06
11,11,11,11,43013307540000,5.0,0.0,0.1,5.0,0.0,0.15,5.0,0.0,0.06
12,12,12,12,43013307200000,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.06
13,13,13,13,43013306740000,100.0,0.0,0.1,100.0,0.0,0.15,100.0,0.0,0.06
14,14,14,14,43013300660000,,0.0,0.1,,0.0,0.15,,0.0,0.06
15,15,15,15,43013157960000,18.0,0.0,0.1,18.0,0.0,0.15,18.0,0.0,0.06
16,16,16,16,43013157900000,,0.0,0.1,,0.0,0.15,,0.0,0.06
17,17,17,17,43013157890000,4.0,0.0,0.1,4.0,0.0,0.15,4.0,0.0,0.06
18,18,18,18,43013157820000,,0.0,0.1,,0.0,0.15,,0.0,0.06
19,19,19,19,43013157810000,98.0,0.0,0.1,98.0,0.0,0.15,98.0,0.0,0.06
20,20,20,20,43013108220000,63.0,0.0,0.1,63.0,0.0,0.15,63.0,0.0,0.06
21,21,21,21,43013101590000,191.0,0.0,0.1,191.0,0.0,0.15,191.0,0.0,0.06
22,22,22,22,43013538540000,768.0,0.0,0.1,768.0,0.0,0.15,768.0,0.0,0.06
23,23,23,23,43013524040000,391.0,0.0,0.1,391.0,0.0,0.15,391.0,0.0,0.06
24,24,24,24,43013526780000,148.0,0.0,0.1,148.0,0.0,0.15,148.0,0.0,0.06
25,25,25,25,43013528530000,133.0,0.0,0.1,133.0,0.0,0.15,133.0,0.0,0.06
26,26,26,26,43013523100000,357.0,0.0,0.1,357.0,0.0,0.15,357.0,0.0,0.06
27,27,27,27,43013526610000,57.0,0.0,0.1,57.0,0.0,0.15,57.0,0.0,0.06
28,28,28,28,43013523110000,114.0,0.0,0.1,114.0,0.0,0.15,114.0,0.0,0.06
29,29,29,29,43013526790000,190.0,0.0,0.1,190.0,0.0,0.15,190.0,0.0,0.06
30,30,30,30,43013509670000,1007.0,0.0,0.1,1007.0,0.0,0.15,1007.0,0.0,0.06
31,31,31,31,43013526620000,257.0,0.0,0.1,257.0,0.0,0.15,257.0,0.0,0.06
32,32,32,32,43013526540000,534.0,0.0,0.1,534.0,0.0,0.15,534.0,0.0,0.06
33,33,33,33,43013524060000,75.0,0.0,0.1,75.0,0.0,0.15,75.0,0.0,0.06
34,34,34,34,43013527940000,658.0,0.0,0.1,658.0,0.0,0.15,658.0,0.0,0.06
35,35,35,35,43013524920000,91.0,0.0,0.1,91.0,0.0,0.15,91.0,0.0,0.06
36,36,36,36,43013527930000,538.0,0.0,0.1,538.0,0.0,0.15,538.0,0.0,0.06
37,37,37,37,43013524910000,136.0,0.0,0.1,136.0,0.0,0.15,136.0,0.0,0.06
38,38,38,38,43013525140000,1085.0,0.0,0.1,1085.0,0.0,0.15,1085.0,0.0,0.06
39,39,39,39,43013525390000,777.0,0.0,0.1,777.0,0.0,0.15,777.0,0.0,0.06
40,40,40,40,43013525080000,361.0,0.0,0.1,361.0,0.0,0.15,361.0,0.0,0.06
41,41,41,41,43013527910000,904.0,0.0,0.1,904.0,0.0,0.15,904.0,0.0,0.06
42,42,42,42,43013525130000,268.0,0.0,0.1,268.0,0.0,0.15,268.0,0.0,0.06
43,43,43,43,43013525060000,118.0,0.0,0.1,118.0,0.0,0.15,118.0,0.0,0.06
44,44,44,44,43013528590000,36.0,0.0,0.1,36.0,0.0,0.15,36.0,0.0,0.06
45,45,45,45,43013525780000,137.0,0.0,0.1,137.0,0.0,0.15,137.0,0.0,0.06
46,46,46,46,43013524150000,171.0,0.0,0.1,171.0,0.0,0.15,171.0,0.0,0.06
47,47,47,47,43013525090000,1122.0,0.0,0.1,1122.0,0.0,0.15,1122.0,0.0,0.06
48,48,48,48,43013525050000,510.0,0.0,0.1,510.0,0.0,0.15,510.0,0.0,0.06
49,49,49,49,43013525070000,16.0,0.0,0.1,16.0,0.0,0.15,16.0,0.0,0.06
50,50,50,50,43013527920000,776.0,0.0,0.1,776.0,0.0,0.15,776.0,0.0,0.06
51,51,51,51,43013525170000,376.0,0.0,0.1,376.0,0.0,0.15,376.0,0.0,0.06
52,52,52,52,43013339380000,105.0,0.0,0.1,105.0,0.0,0.15,105.0,0.0,0.06
53,53,53,53,43013524990000,16.0,0.0,0.1,16.0,0.0,0.15,16.0,0.0,0.06
54,54,54,54,43013522580000,259.0,0.0,0.1,259.0,0.0,0.15,259.0,0.0,0.06
55,55,55,55,43013525220000,210.0,0.0,0.1,210.0,0.0,0.15,210.0,0.0,0.06
56,56,56,56,43013522730000,324.0,0.0,0.1,324.0,0.0,0.15,324.0,0.0,0.06
57,57,57,57,43013524940000,67.0,0.0,0.1,67.0,0.0,0.15,67.0,0.0,0.06
58,58,58,58,43013522570000,314.0,0.0,0.1,314.0,0.0,0.15,314.0,0.0,0.06
59,59,59,59,43013517800000,46.0,0.0,0.1,46.0,0.0,0.15,46.0,0.0,0.06
60,60,60,60,43013525000000,105.0,0.0,0.1,105.0,0.0,0.15,105.0,0.0,0.06
61,61,61,61,43047527620000,393.0,0.0,0.1,393.0,0.0,0.15,393.0,0.0,0.06
62,62,62,62,43013525430000,139.0,0.0,0.1,139.0,0.0,0.15,139.0,0.0,0.06
63,63,63,63,43013519950000,49.0,0.0,0.1,49.0,0.0,0.15,49.0,0.0,0.06
64,64,64,64,43013519940000,80.0,0.0,0.1,80.0,0.0,0.15,80.0,0.0,0.06
65,65,65,65,43013517710000,30.0,0.0,0.1,30.0,0.0,0.15,30.0,0.0,0.06
66,66,66,66,43013525200000,56.0,0.0,0.1,56.0,0.0,0.15,56.0,0.0,0.06
67,67,67,67,43013525810000,418.0,0.0,0.1,418.0,0.0,0.15,418.0,0.0,0.06
68,68,68,68,43013522780000,148.0,0.0,0.1,148.0,0.0,0.15,148.0,0.0,0.06
69,69,69,69,43013525730000,570.0,0.0,0.1,570.0,0.0,0.15,570.0,0.0,0.06
70,70,70,70,43013523150000,30.0,0.0,0.1,30.0,0.0,0.15,30.0,0.0,0.06
71,71,71,71,43013525740000,112.0,0.0,0.1,112.0,0.0,0.15,112.0,0.0,0.06
