API/UWI,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Well/Lease Name,Well Number,Entity Type,County/Parish,DI Basin,DI Play,DI Subplay,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,AAPG Geologic Province,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID,Other No.,Operator Alias ID (Legacy)
43013334280000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,8-29-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-74391,,6010.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,29,09S,16E,,,,,P-540,40.0038229,-110.1368071,,,,130630404,0,100036953
43013312550000,"ROSELAND OIL AND GAS, INC.",ROSELAND OIL & GAS INC,ROSELAND OIL & GAS INC,,FEDERAL,12-5,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,U-30096,,,,,MONUMENT BUTTE,UT,,UINTA,USA,05,09S,16E,,,,,P-540,40.0613518,-110.1515074,,,,130630386,0,165692
43047541880000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU,D-1-9-17,COM,UINTAH (UT),UINTA,UINTA,,,OIL,CANCELLED,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-82205,,6344.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,36,08S,17E,,,,,P-540,40.0688717,-109.9581033,,,,130630354,0,100036953
43013324520000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,WEST POINT FED,1-31-8-16,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-74389,,,,,MONUMENT BUTTE,UT,,UINTA,USA,31,08S,16E,,,,,P-540,40.0804514,-110.1559075,,,,130630337,0,100036953
43013328240000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,ASHLEY FED,15-22-9-15,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-027345,,,,,MONUMENT BUTTE,UT,,UINTA,USA,22,09S,15E,,,,,P-540,40.0109104,-110.2166084,,,,130630316,0,100036953
43013314330000,EQUITABLE RESOURCES,EQUITABLE RESOURCES ENERGY,EQUITABLE RESOURCES ENERGY,,BALCRON MON FED,42-18,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-72106,,,,,MONUMENT BUTTE,UT,,UINTA,USA,18,09S,17E,,,,,P-540,40.0330439,-110.0434055,,,,130630273,0,165722
43013526750000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU,126-5-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-034217A,,6222.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,05,09S,16E,,,,,P-540,40.0573809,-110.1418072,,,,130630257,0,100036953
43013538530000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU 13-34,9-16-4-9-4H,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,APPLICATION FOR PERMIT TO DRILL,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU47171,,13680.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,34,08S,16E,,,,,P-540,40.0688098,-110.1132767,,,,130630231,0,100036953
43013531000000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU,P-22-9-17,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-13905,,5729.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,21,09S,17E,,,,,P-540,40.0143524,-110.0048049,,,,130630212,0,100036953
43013528660000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU,L-22-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-64379,,6018.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,22,09S,16E,,,,,P-540,40.0180028,-110.1033065,,,,130630193,0,100036953
43047324560000,EQUITABLE RESOURCES,EQUITABLE RESOURCES ENERGY,EQUITABLE RESOURCES ENERGY,,BALCRON MON FED,41-26,COM,UINTAH (UT),UINTA,UINTA,,,OIL,CANCELLED,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,U-67845,,,,,MONUMENT BUTTE,UT,,UINTA,USA,26,08S,17E,,,,,P-540,40.0931513,-109.9670036,,,,130630160,0,165722
43013530460000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GMBU,B-28-9-17,COM,DUCHESNE (UT),UINTA,UINTA,,,OIL,CANCELLED,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,UTU-13905,,5682.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,21,09S,17E,,,,,P-540,40.0109534,-110.0095050,,,,130630112,0,100036953
43013315920000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,MON FED,32-10-9-17Y,COM,DUCHESNE (UT),UINTA,UINTA,,,DRY,PA,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-04-26,1,,,,,U-65210,1996-04-18,5650.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,10,09S,17E,,,,,P-540,40.0474029,-109.9911044,,,,130630081,0,100036953
